room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
Shared room,14,1,17,4.5,10,1,64
Shared room,14,1,11,5,10,1,65
Shared room,12,20,0,0,4,1,62
Shared room,14,5,24,5,10,1,62
Shared room,10,10,0,0,2,1,40
Shared room,2,47,5,3.5,3,1,35
Shared room,12,7,0,0,6,1,71
Shared room,4,26,2,0,3,1,30
Shared room,15,2,0,0,2,1,40
Shared room,15,3,33,4.5,8,1,18
Shared room,15,5,0,0,1,1,25
Shared room,2,44,7,3.5,2,1,16
Shared room,2,19,2,0,1,1,18
Shared room,2,42,0,0,8,1,26
Shared room,6,5,10,4.5,4,1,18
Shared room,10,8,1,0,2,1,24
Shared room,15,3,46,4.5,6,1,24
Shared room,14,1,0,0,1,1,25
Shared room,4,26,0,0,1,1,14
Shared room,2,47,4,5,3,1,24
Shared room,12,18,27,4.5,8,1,18
Shared room,11,40,2,0,1,1,24
Shared room,4,19,4,4.5,3,1,30
Shared room,4,34,23,4.5,8,1,23
Shared room,2,41,3,5,8,1,24
Shared room,2,7,3,5,8,1,22
Shared room,10,73,0,0,1,1,22
Entire home/apt,14,2,0,0,10,2,274
Entire home/apt,14,5,2,0,11,3,298
Entire home/apt,2,34,0,0,6,2,296
Entire home/apt,2,45,8,5,6,3,143
Entire home/apt,12,21,0,0,8,4,285
Entire home/apt,4,47,7,5,5,3,238
Entire home/apt,2,34,1,0,5,3,191
Entire home/apt,2,48,0,0,5,2,178
Entire home/apt,13,4,2,0,2,1,155
Entire home/apt,14,6,182,5,9,4,178
Entire home/apt,15,1,0,0,5,1,166
Entire home/apt,2,19,0,0,10,5,178
Entire home/apt,14,1,1,0,4,2,178
Entire home/apt,14,1,145,5,14,5,167
Entire home/apt,13,2,0,0,3,0,153
Entire home/apt,12,16,65,4.5,16,5,166
Entire home/apt,15,5,2,0,6,2,125
Entire home/apt,11,40,0,0,6,3,143
Entire home/apt,13,1,1,0,4,1,139
Entire home/apt,2,41,47,4.5,9,4,143
Entire home/apt,4,14,0,0,8,3,143
Entire home/apt,13,2,32,4.5,6,2,131
Entire home/apt,12,22,9,4.5,8,4,131
Entire home/apt,11,59,0,0,6,3,119
Entire home/apt,5,12,0,0,3,1,107
Entire home/apt,14,8,20,4.5,3,0,106
Entire home/apt,13,3,0,0,3,0,119
Entire home/apt,13,4,46,5,6,3,119
Entire home/apt,13,2,266,5,6,2,107
Entire home/apt,15,1,0,0,2,1,107
Entire home/apt,7,11,52,4,6,3,105
Entire home/apt,2,25,41,5,6,2,113
Entire home/apt,2,42,12,5,7,3,107
Entire home/apt,4,39,0,0,4,1,119
Entire home/apt,15,2,114,5,6,1,117
Entire home/apt,9,8,2,0,4,2,101
Entire home/apt,15,2,29,5,4,2,90
Entire home/apt,6,30,6,5,4,1,63
Entire home/apt,4,31,0,0,2,1,66
Entire home/apt,2,37,8,4.5,4,2,71
Entire home/apt,10,35,0,0,4,2,69
Entire home/apt,12,11,13,4.5,4,2,54
Entire home/apt,10,8,4,4.5,6,2,45
Entire home/apt,10,3,6,5,2,1,60
Entire home/apt,10,12,7,4,4,1,47
Entire home/apt,10,65,77,5,6,3,47
Entire home/apt,12,19,8,4,10,4,30
Entire home/apt,12,20,25,4.5,4,0,33
Entire home/apt,12,11,239,4.5,2,1,39
Entire home/apt,6,17,28,5,2,1,5954
Entire home/apt,12,14,6,4.5,14,7,775
Entire home/apt,2,11,0,0,14,6,594
Entire home/apt,6,33,0,0,6,3,595
Entire home/apt,2,8,0,0,16,9,594
Entire home/apt,2,3,10,5,16,5,536
Entire home/apt,11,55,3,5,6,3,572
Entire home/apt,12,16,8,4,16,8,595
Entire home/apt,4,18,1,0,16,7,595
Entire home/apt,7,14,20,5,16,7,709
Entire home/apt,5,11,0,0,6,3,357
Entire home/apt,7,14,0,0,12,6,381
